MusicName,Visible,Votes,VotersIDs,IsUserRecommendation,RecommenderID
Human adult.,False,52,"['7e81b75a-60c3-4977-9c12-833708bf0937', 'afe3d6a7-30f1-4e49-9076-3f84ec910b24', 'a9e29799-5537-4d76-8884-1b81b997b125', '5009ffeb-1117-4e66-819f-60c0de409c99', '50dc3cf9-0061-4703-bd21-0fd03474a836', 'd48293e8-38cb-44e3-af95-ecead884913f', '80567800-4f32-42ef-87d0-10fd78d96fd9', 'b11f386f-2781-4c7f-b7b6-6f2e231497fe']",True,ab031b21-e9c1-46f6-9b0a-a241014c6d08
Quality gas new.,True,27,[],True,
Charge find.,False,45,"['78713807-ce81-4721-8b9d-14225d0e5a4d', '868f37b2-ceab-4158-a99e-922590335b54', '1187a388-c2ce-4925-bf4a-eebac12b0111', '5bff8ece-4767-40fe-afb2-69a7fe92433f', '8d2333ed-3606-48f6-b695-3d4313eabc36', '7770b186-89c7-45f3-b75a-f96c474ce9f1', '6b603f2a-6543-4ac6-8f86-89a6b8e590b1', 'ba1cf14d-db5b-4cf9-a456-23911d24501b']",False,
Wait other begin decision.,True,21,"['3d3340e9-02b0-4328-8409-72372be476fa', '70df7824-af38-4862-9f60-bbb7c5c9ea6e', 'de7292cd-8c57-42d2-a179-d0fed09ed360', 'b9c82fc6-d094-4c2d-a40a-39ef66f9aeee', 'f8b14922-2cef-48ad-a56a-9f1c84726ad7']",True,
The Congress.,False,9,"['eb778b1f-aedd-4578-a064-0a05b104ff96', 'de1d2eb8-3e2d-4515-ae2d-d944f569a4be', '2ed85230-85ac-433e-9da4-187a239a6a3b', '0cd4a4e5-b49b-454e-a4cb-b371f50e61e9', '7990e2b6-f9dc-45c8-864c-f43e702ab006', '2de09dd4-1c3b-4d54-9589-532e5827551b', 'f5715ad5-7b1f-4cb9-944b-b0f8508e604b', 'dc465f7e-d2df-4d3a-a810-d436066188e4', 'c9ee3835-c2ba-48dd-9506-a0cb15cbb42b']",True,
Eight Congress more.,False,100,"['cb8cb309-a143-4ff7-bb92-580cc38768f1', '619b2bcf-dfbe-4451-ad77-f2baf22a4d9f', '1ff24263-e954-45bf-a7ef-cb24e9deef13', 'd033f54b-c1aa-4be0-ac6f-5ca318d5b7e8', '7e751eb9-84df-45de-9f04-a2bae3cfbda6', '5809f418-af66-45be-8307-461fa70e749a', 'a1a771ef-91b5-4b91-ad9b-5b2c02e53dbc']",True,31247ed4-d7cc-4462-81fa-c320d2c7ecd7
Almost reveal.,True,7,"['bd00ec91-2b42-4757-9a98-709a749dd576', '1b948aea-c4a1-4d6b-929d-c6674e833dd1', '2e9ec03f-71e7-4e62-ac0f-f27a385ffd77', '5bff29ce-33a7-4ebd-873a-4f6b456fbeed']",True,a483d97e-31d6-45b0-a2b5-03909bc48363
Leg international of.,False,88,"['895fe764-d20a-4344-86ec-05deb69cda75', '7f4ee992-92ca-42a7-aa10-d604a20cbcc4', '6a0f8d33-b548-48af-91ba-ecab32dab415', '398e8646-4212-4fe1-964e-28d05fe7583d', '60984e7d-fba1-4037-a159-d8e7a2e9b955', '0d11f12e-b8c7-4c4b-8fc1-16e6eba8211b']",False,9c483e91-9bcd-4daa-86a8-86a9bbe092cc
Tend thought.,True,73,"['d038a9e7-e79b-48f3-817d-c80886fd0639', 'dad5c729-df2e-4d95-b7b4-8085137a10b6']",False,
Thus unit remember.,True,7,['265904aa-4b49-47dd-a9de-dbe7e116c832'],True,3dd0f32c-a93f-4304-ae11-e23df1fffa33
Week prepare every.,False,34,"['7d26a796-b352-4658-aefe-24dbdc668313', 'd6b12315-7df4-4d48-9897-c7a626daa9c1', '5b79b009-75ba-4386-9fd9-4817d94e41f6', '6c7b631a-91c9-4fe1-8310-576acb6d1343']",False,e14f8eda-8228-4dc8-9130-7b2b541c6849
Area plant task effect.,True,38,"['4af9e500-8cb5-42d8-99ee-8134fd1cad1b', '4c6f4681-6d23-4968-af11-56ec75413dff']",False,
Entire north nice unit.,False,22,"['e4374baf-cb0a-489e-b675-d62d6d3bbd0e', 'df59250c-908e-476e-8ec9-c688a7f146ae', '2a72f0bf-708e-455f-9e3a-a1a825cf7a2c', 'd5d08d54-2a9d-4565-b2d7-7709c3fa7aab', 'bd0c6e22-2f4d-4549-8d12-fd4daa556e87']",False,051958d8-b8e4-4e07-ac53-dcb5d86d0749
Short impact.,True,89,"['4614d309-0d7e-42ae-8839-20c02f192cbc', '0b7bdbb1-cc56-4c23-9e80-b18d59345034', '00ae78a0-2e11-4324-9da8-065e3899a904', 'e3e04522-aa76-46ec-93e3-b0c91f81e5fb', '1de28663-4c64-471e-b99f-33225b8dd81e', '3255c090-f925-4161-bc5b-c3170d708670', '0f351820-9498-42eb-9d54-ff639451aac7', 'c0646e6e-0845-4256-9503-c2a5a4b59798', '81a82e7f-9417-42b0-b492-19a17d73fbcf']",True,0d92e283-bc75-4872-9812-7b01ebb54e8e
Themselves technology surface.,False,15,[],False,5be314ae-fa59-461c-ab34-b5203af8ba30
Many list pressure.,True,66,"['5f8d9989-c75f-4b84-9dcb-8a3c44a6a6da', '22f9d68a-b8fa-4460-a297-da45bf50dbf7', 'f6e1ffee-c57b-46a1-aa5c-f7d8e9601885', 'cc106837-b8cc-49b9-bc5a-d1af337c6569', '6dad0643-de9d-483a-b929-7d9d878959df', '39c5252c-ad22-4c53-a54d-99260506f07f', 'c728b500-03b5-4c35-8ed7-920a9783fc4d', '70610e17-af5e-42de-a5c8-4fab9d685223', 'a8a96e9f-e600-4830-8421-540d5ef2d4d4', 'b222e7c9-61f5-4660-ad99-dd1f07b1a8dc']",True,
Several born.,True,92,"['1a81f224-90b2-486a-812f-39aae7faffcd', '081fc49d-67fb-4dcb-b1a6-06bf3cbba4d5', '123ddcd5-b79b-47aa-8e48-0c32bf617e73', 'd47f80c6-69ff-4dc9-b38d-681a6ca88b37']",False,d38de04c-eeda-4d31-809d-308094f9e061
Mean visit position.,True,93,"['5011303e-5208-4c53-88e0-894e5ed52d62', '36a546c1-8745-49c1-8fb5-079fd63cb4d8', '9e840e9b-f21b-4d13-b29d-8a209da8a27b', 'a132051e-b5e8-400a-8ee5-025e8a67ff83', '7f82c9c1-dfc0-4949-8034-c5ae550fac4f', '37316d6c-3539-4bf1-a8bd-59f8e6770b5b', '76c37065-c14c-4497-a8b5-742b93cf94d5', 'a0df67e0-dc26-44e6-b146-21ddc9e8b34d', 'b7ec6b9d-f5f2-4683-ab57-829629105e2b']",True,
Street.,True,99,"['d3ccf413-afe0-4deb-93ad-0d1629179be4', 'd66b6a00-e33c-45ca-8cec-b41cd50de38c', 'd2b9eafc-1248-4dc5-98d4-b7fb17b37b65', '1f68c236-d206-41ae-bf41-09043fe26b45', 'e69ce914-f062-4a98-9acd-39b962bc3536', 'f35bab48-6f8e-4ec2-bda0-732908bffe9a', '11667d24-e66c-4a0e-b4e6-10bbab5cc5f4', 'dd90802b-ee15-4830-8526-e9dca832e7c8', '85a4a902-249c-4b7e-abac-4b6336e998cd']",False,25deb1a1-2160-4393-ba7e-e8a24f8d3ea4
Cup dark accept.,True,72,"['246ef52d-6af5-4214-b619-9268c72f6445', 'bd657906-6c0a-42bd-b14f-107a44d7bf9a', '6ad1eb37-f611-45bf-9a36-1defdf2bc4f1', '1c0a6216-2bd2-49bf-8784-3c903b7d6c40', 'a795de9f-2f49-415f-9ad1-e1ecf0648c34', 'b81e4eb6-a892-4a38-baf8-9dfb624b36d2', 'a92ed2d2-8fc2-41d2-8cb2-9515c4ac1f1a', 'ae3f6175-bbd1-4fa5-ba82-2ceda0944cee']",False,a2f88fab-263d-49d9-be2a-92f0e1d470b2
Cold listen she charge.,False,90,"['0f919f81-07b3-4c37-b122-cacbd6cc35b8', '552dfa8c-5407-4be9-9eba-a975ac180eec', '1f585af0-f46d-4ffc-a9d9-3d210a69f062', '5f6857a3-efc2-427f-82e9-8479fbbf07a6', '7f6e6d9a-5a8d-40f1-8d8a-81075d9314e5', '61bbd804-4e15-4d27-84fa-1870dd58ff11', '57dd8126-cc85-4b28-bac4-8c23d9d36c9a', '83937bb1-5856-4ddb-9a4b-3327aed84bde', '31a28c67-0bd9-427c-aa6b-0ac5c4490fee']",True,5faa25bd-26c5-4ac1-8bf2-4a4e1a482fe1
Fill window.,True,84,"['17d22958-4a22-4b33-8a41-879b4f4290f4', '30481d0d-2b7f-4b7b-b242-c47356afac02', 'f6cfc42b-e41a-4355-a794-75cad535878e']",False,
Like.,True,92,"['8f4bb678-0ec2-4960-bdcd-ba83757b2fc9', 'f86f3553-dcb4-4ddd-a94f-b1fec17ee260', 'b5e9ef44-9be3-4639-a7e8-a3c653b76fbd', 'cf625a26-7d95-4a0c-90d2-fd9f78f5730d', '8c033234-35d6-43a2-9ae4-914c5f6c2712', 'df0fc9c0-7964-4383-9038-db7a3b1c25cb', '1603fee0-f7e9-4ffe-9f02-cc1c6189c30b', 'acf31ff7-71a7-4a2a-ad8f-4a80fe774b8f', '6ec3cc8b-b22b-42d9-a404-7e0c71d654bd']",False,
Note hair too.,True,99,"['1886bfa7-467a-4a23-8024-c07443cc7d4d', '0a6d2667-5146-4592-987d-ebea9ed84a7d', '342df6d6-9323-472d-9106-89290bb8f879', '4dc36a9e-e1af-4930-a839-4a06485c027d', '48c84557-0659-48be-b163-8752c96d04d0', 'f8b6f438-517c-44d4-bb02-cb3143e1f61e', 'b360854d-b907-4b67-9219-d0958b2d3b00', '00bb1870-753c-4eda-844c-b63e56001d9f', 'ed577068-cd97-4699-a628-71a16c546136']",False,9121dd38-7d65-4c90-9b7e-5e999a3d95ea
Top store.,True,81,"['0cd752b3-9f9b-4fd6-9763-3e64400a0852', '9ae1e87d-9692-44c1-a4e3-4d8d862da4dc', 'cea939b2-479e-407d-a4f7-58ee5981e1de']",True,
Edge media.,False,48,"['53b94169-947c-43fe-a9ad-d8ecd6381b0c', 'd4b0d92f-219d-467e-a020-9a5510106a42', 'f4f6f1f0-cb48-423d-af10-a191d8041fc0', 'de1830aa-dd42-451b-8d4f-639ea778c348']",True,
More start significant.,False,53,"['f7198104-d68f-4906-b609-0058e7b4639b', '1d255b10-b14d-40ee-8f6a-9c88c1705123', '09f7feb9-712f-4d82-a63a-2d8982bbb6e1', 'aec4b839-3d4c-41b9-881b-41e4d7d02a50']",True,
Individual miss.,True,84,"['42b7e740-3450-4c9c-bd44-a42095b9fddd', '9d6ff7c7-b4f2-4469-80dd-4ecb5d61047b']",False,b906f7a3-c056-44f7-855a-99a490b189a4
Capital newspaper success.,True,86,"['6b3dfdfc-3335-4067-a8df-201db987c12f', '1d376ece-45de-4d98-ab06-5e8c5d910429', '95156d09-3385-42cf-bde1-d6a8d0f14174', '9769a5d8-f1d7-4490-8bcb-9ec2a763d7e2', '4d191451-669c-44f8-b925-1784cd1ef7a2', '3b5c9c47-d9e2-43bf-a80b-557635b4947e']",False,
Education recognize only.,False,12,"['5e23480a-2a1c-4e98-aad1-a998c8b5f819', 'afb8a1cf-5837-4cab-847f-e7a3690f4b3d', '5ee73021-d927-44aa-8ba5-ddc64d07343a', '251a21e0-1e2e-4d95-806e-366c3fdc201c', '36d2832d-d1d3-456a-aae7-26e6a3897ce7', '3100412b-ea11-44ac-8993-dfecdbe8fdc9', '29406989-a7b3-4b02-bcf9-e965256e7d20']",True,
Rock early among.,False,77,"['d1e4782c-b647-4643-9b0b-029a744031fb', '7f617990-1eb9-4b89-8c91-60f61c93f0b9', 'e15523d0-3577-4793-af1a-3aad38a84330', 'a33ad487-7d03-458c-b88c-c697945197c9', '490acf78-a8ed-4fde-ace1-f349484c0b37', '6436fa2b-4672-480b-b2a7-2345e161b180', '07ea0cbd-8296-4f64-8396-73b423b4c3d3', 'c7c0ef0a-5220-4f7b-b0d8-4b16185cb19a']",False,
With must.,True,86,"['a508bde3-79ef-40d3-bc7a-a1993149ffcf', '7989e9e0-c9d4-4b1d-9145-a982904af94b', '32686fd8-dd5c-4910-ad8e-f4a765738064', '25b496db-2438-40b2-a640-5d2ef8fa7bc4', 'f70ef2d0-4f85-42fd-8eb1-8b969d4488ea', '851819c2-9185-4372-96fc-5fbbed8e3de9']",True,a7ac0c93-9112-45a3-b476-db6e866a6c5e
Writer here condition.,False,70,"['679413be-4545-4028-99ba-a5cade8f8e4e', '460b952a-39b2-4d4c-b946-3ffa72059414', '8d6b1356-4592-4642-ba8a-c5755621666e', '54e2c2a2-2f17-4747-8b7e-0847be054d92', 'f7c44a37-bfdb-4bc2-8c40-5477da7716ba', 'd486ef3b-9c2a-42d4-9b6a-3829d9c992c8', '6eb73ce5-f940-4d93-955a-752fbc82cbe1', 'f95db378-c089-4941-9f16-666f4829400c', '1a4b9f0c-3467-459c-8a50-7da436906ed7', 'e6adf4c2-0860-4c29-9132-44c919124032']",True,324a1244-14d3-48d4-944c-2babd1216c31
Market he man.,False,88,"['35d64194-2d4c-4c8b-a869-67c1a9a82f8f', 'fd712242-502d-4ba8-a287-f715195504ee', '4443fa0a-91e3-4995-92a1-480a3fb1a755', '289481c1-227d-43b8-8074-8871fd99c6bd', '2650414c-399a-42ff-b6d9-686984e47178', 'e1ed0508-07dc-478e-aae7-4bcc360e75d8', 'f2c314a7-a016-4c11-ae76-bb1cab675c21', 'ad1e54e8-dafd-42a3-a383-c37d12b1090e', '1197e136-1dc6-4282-9f8e-1f5a56ab52b4', '0ff29ff8-390a-467b-a047-15571a107b5d']",False,
It mean.,False,11,"['0c6b7d43-c425-4fd0-803d-24388f94f03b', 'da329651-d3b3-4020-9a3c-882d3b3a91ce']",True,516e3c30-f070-4ac5-b355-a40bda234c0c
Include exactly.,False,57,[],False,
Toward lay.,True,57,"['f1679e85-dba3-4446-82e1-78bdd1fb8522', '0674ab51-4697-4ecc-a7a2-2c441d70d3a6', 'ecd284f2-bbdc-4e51-b0e2-0e359b19a320', '23241049-ec2d-4909-8dad-25255a3a0a44', '1a2706fb-a5e8-41cd-98b8-1f8d6b2a791a']",True,219e8814-8204-490d-806f-ad8a09ff72de
Establish win.,True,90,"['ecf94610-3b0f-45de-92af-0755794aba91', '0d2ff31f-3782-4542-9344-4f93039ab712', 'bd3d2d97-0266-4482-b866-68997c7f04bd', '189558da-4b6e-4039-8a83-2223cc563c7a', 'e311a7fe-1ca7-450a-81d8-90ed7431db58', 'c7d0e36c-1f26-4df6-9e0a-85a25a5cd510', '475c3570-87ec-44bd-b025-73cd44bd7a5a', 'aee075f6-a3fc-46b0-81cd-f5aa19eecb65', 'ef333f05-5f5b-456f-afba-07ffa173fbcb', 'd65920e0-b490-4dd8-8c8f-ad764720d2f4']",False,0688b200-6edb-4675-8088-8315c33054ef
Soon for hair.,False,90,"['2770a77f-88ce-4740-8324-643ee6e50931', '4784cdc1-cbdc-4155-8d67-bc92dfa96d5a', 'bf71b7b9-0353-4b91-b62f-3f8a23116e69', 'b3c50c7d-6a76-4ac4-a8c3-555b3a122494', 'a68afb4d-8595-4d78-bcc6-ec2e0b2a857f', '08c3b39f-2494-419d-b4b4-a8aa593c5b4d']",True,8e01ac3c-dd7b-4bbd-be85-035fcb60bc9a
Both hot hundred matter.,False,5,"['4d7c28c0-7dae-46cc-aa93-24cd263715df', '2ff5184b-5ad4-4b9a-9849-53a56223d5eb', 'cac3adf0-2db0-41b3-ac40-7d96ad2026ee', '6125ccab-7354-44a1-b3bb-e85f04ea5e27', '7e218a90-2965-420a-b2db-86bf329fa279', 'a8b96bb0-460e-44f9-9c98-e8b095880fa8', '29c2ef32-7ccc-43da-acd8-197bd8200b8a']",True,
Civil wide.,False,74,"['e382adf6-db1f-4f59-8917-1ac40d7f7b31', '910a7b70-190e-42b6-94b7-1a1bc38768a5', 'b392e7c9-b42b-427b-bfbd-90bbad5a1080']",True,
Service middle.,False,98,"['3d0549f0-6908-45a6-bb65-77095e1e414b', '91228f22-df46-4ade-9a08-ec1f120575c3', '410ffd8d-0579-4674-a316-7907e99ecdc3', 'ddfdb167-f97a-4215-9242-33509dcceac6', '2c7c855e-986c-48c7-bf22-37eb3516d4df', '356b9c8a-3a42-4796-b1e2-7b7ea1a6d1bb', '6776260f-839d-4adf-8847-7bb11b76179c', '7b27f902-3290-4f1f-a61a-bce7c668a87f', '01d25487-596a-456e-a9ec-48943a487518']",True,
Lot everyone.,True,87,"['0fcd0d6b-eb49-432a-b4e6-0160d7497e5c', '578b10c3-73bb-49cd-9561-4fead16661ff', '7e91e78a-a034-4e2e-b93d-6eb13d2cd25b', '8be0f260-b789-46cf-bc68-9b0f11e489c4', '4edc294c-2689-48dd-9b6d-eb9d524bb0b2', 'fcfb3342-82c2-4633-8272-2fd20293fddc', '909aef5b-1831-49cc-8ea6-ba9971f6a5df', '7b23b6be-2519-440d-9b2e-628fca22e1ea', 'c9cd3705-904d-4353-acf2-96936b430b55', '45e03473-5dd7-406f-8b5e-82fbdd6aae3d']",False,
Ball.,True,23,"['7125ba37-13b3-42d1-92f0-f42114c40fa3', '88727558-cebc-4771-8395-6a913a137409']",False,25e51b81-d1dc-4c18-8730-6102fc91893c
Smile religious recognize star.,True,43,"['41a7a6ee-e071-4638-9049-c31d0a32c5d2', 'd1a62792-5cb1-4e89-910f-42b7d318a3a2', 'b27754c9-44d7-43a6-99f8-59501ee6fae0', 'a698615b-f1fb-4319-8e6c-8c140f5c3acf', 'a3196d88-16b7-490d-a63f-1b384541d396', '08834793-f4f2-4611-a544-6919a37e7e1f', 'c922b5b0-7544-4220-b13f-b7fdb560ddb7', '7b973a73-25ad-49f3-9689-a0a8aacaee63', '212b3281-7776-412f-9de6-23d0a975ce68']",True,91cf62dc-3760-4b59-9ac1-3c827c272a3d
Half adult word.,True,74,"['a2bb2d8d-fa67-4511-94b9-f86f5201c2f1', '4dd6dd37-d912-443e-b88f-1c17487b508d', '323a455e-94df-4ba4-93ff-df266809ef25', 'd1517003-134e-4e68-ab41-4331ab49c65d', 'dee72190-acc1-4b03-877b-0b305bc6554e', 'c9e4cd1a-36a1-4e8f-a176-e0ac79b0d6e3', '01fa4ab0-ac00-4ac6-83d8-af643090820b', '5ae2ae8b-0010-4f6a-99e0-dc56b55d95b1']",False,
Probably.,True,12,"['644f6918-a088-4155-a0fb-f3243bb3435c', '70ac7156-8bbc-49d8-9623-707482b6e0b4', 'f8365851-13d8-40c9-b7f1-476bc46edfc5']",True,903e482c-9b81-49ba-a58b-d61681d67257
Similar dinner.,False,3,"['7d38e710-e7b0-4e18-961a-3af433db5cd1', '4bc32c70-42ec-4dd4-bc08-f3db1440e8c8', '5d20da8f-682f-4166-bfeb-9fef34aa32b8', '4e8f18ad-259c-4fb2-8de7-3b8fb766b0a4', 'c8f809a2-99d5-496e-bd6d-da96c8c03a58', '97caa37c-9e66-4899-95b9-8cdd83a5730d', 'a6e8e3cd-ff75-4971-82a4-8b5d2484bc89']",True,
Opportunity economy walk still.,True,6,"['7a3d3094-78ad-471c-9acb-f54d4b7ccbee', 'e6bd93cd-92d5-4871-bcf7-44cb18123f6a', '1a509d40-9a1a-44d0-8e16-fdf7323c218b', '0a30deed-e222-4521-a655-927efe993a31']",False,a5aabf78-4e07-49e5-8ff5-98ddcfd990e2
Six sound least.,False,55,"['d3824466-bf8d-4205-90ae-4776ec0430a8', '3a0ef5f6-30d7-44d8-abea-8ee1716be78d', '29311eae-7ad9-4889-9e92-18f0d2415c1f', '16f8ad61-985c-4de5-b2a2-2cf8cd035d01', '4aea5650-9882-4796-8000-6526a286dd9a', '89cf1b30-d780-4517-ae65-0d11e2c00d27', 'e1f5ff1f-873a-4a2f-8ea6-82db4370c1bc', '62093120-68ed-4708-8550-4ed934d3d9f6']",False,ff9a7723-4ccf-4d62-9c99-0a290387a63d
Voice myself prove.,False,91,"['8346d930-0e73-4673-9103-cddc00ac205f', '9ab82df5-55c6-4932-a406-4fd2bf787e23', '2e83461a-46ce-4ddf-9cfe-e6f22d5e6a6e', 'f5283344-3ec2-49f3-b5de-3dab9caf0327', 'fff6c0ea-8cad-4053-85db-f23ab2aeda18', '0bbe6307-74b4-49ea-a4e9-7af49f128fbd']",True,6b3ebc5a-f249-4a04-a321-0766bb459fc7
Main appear accept.,True,96,"['7bd3c1a5-ff95-4d8d-a65c-c393fc76f075', 'eeb8c9c3-457a-426f-a2b3-3be7e6dcf86c', '619b5366-0312-4dfe-9d80-b9af9e0c240a', '7b56d325-49b2-487e-b810-a6372d27fadd', '00ef38af-e85f-4059-b65b-b6560692d57e', '238cbfe9-08bc-4041-8426-b33c08a3273e', '7c39182b-1660-42e9-8ce4-f36b03d507b9', '0af1f5b2-d69a-459c-bb3b-dd530e9ef264', '5412419c-6b43-407e-bcd6-2331f6c948cd']",False,
Tell goal cause.,True,21,"['a1bbd03d-a92a-4c56-9c0c-3da6024809f3', '3a60e552-d6ef-486f-876c-7e11a0691455', '2f1fcd7d-3def-47d9-a34a-f18171123edd', '7a326fb3-01c1-4edc-a2db-b75a8ddefcf0', '253ba2f1-9834-45c2-8eca-ca8b1723c83c', '151f7abb-e5f7-4a56-a900-f847880d0c4c']",False,
Her happen good.,True,94,"['b38bf38f-89ad-402d-8855-4fdd309b3a74', '94ba0b4c-ecd1-4fd1-90ee-0904c4ac0eac', '3ec20e52-e43b-449f-9078-37ca9561e93d', '1801de2c-17fb-4118-b192-94b463f90896', 'c7a8ca62-7191-46e7-b34a-d70384585cc6', 'b5d5a334-b4ad-46c1-aaf5-060087cb9800']",False,
Need recognize.,False,1,"['2bced161-2f74-4c7c-9a97-56512546067d', '29ab2b46-89c5-432c-afe2-54876d4ca8e1']",False,89e14909-838b-421b-89fa-6e77b5dd6e5c
Significant near large.,True,35,"['cec1a66d-804a-4550-89d1-12bcbafc8bd4', '72328e14-c723-468c-b2c6-865dc1213737', 'fc018678-65a5-4fa3-b156-ea7102776c5e', 'cbf8c657-ec66-4b79-ad8b-a86e5f1a268d']",True,
Red value upon.,False,43,[],False,
Stock list how.,True,86,"['7b495552-2e56-4e3a-accf-adb4d1d34e8d', '17f012ff-b01a-4643-84cb-bca374f7718c', 'b02bf5af-f8c1-44cb-92d2-1713e8e93822', '678fe3ec-671c-4f5f-bf58-5e57ecf0b470', '7f1f226b-ce4c-4ec8-852f-6f9d58c3f1aa', 'aa6bc05c-046b-4f95-8165-24660f4db957', '8b68bbbd-9b43-4736-beb9-26a62126c28e', 'c2bafb5e-1568-4cc7-903d-95cff132473a', '0d374257-ddd4-4225-b935-5280b7d36889']",True,
Whom central read.,False,45,"['6c4d6129-feeb-47a9-8952-aea0b5cbd8ef', '389299d7-5251-4e8f-95f9-6d4c4d9af2f7', 'c5af5b36-978c-4ebd-8dd5-3fe844b1d741', 'a8de2e04-331f-4252-b201-35466e14a6e6', 'cffe2555-3b86-4f0b-bcce-e72854f509bd', 'f452b31b-bce5-46d8-930b-fdb4a31fe9fc', 'e16c1ae0-8b91-4218-b361-c7bdb15f6204']",False,
Strategy new.,False,30,"['463f3506-4136-423c-939d-232421be48b9', '592eb5fd-f9eb-4515-af4c-3857a6283908', '021c2a93-2fcb-45fc-822c-e354392560ac', '22d17592-8117-45b1-81e7-ccc5ac3c98be', '12f89b90-e09f-4d65-9cc1-48663a783ac2', '14d6e30d-cd80-4685-80b2-3ac77816009d', 'a299c7ce-7af4-454b-9bb2-e824bc51f97e', '0a258fc4-b31b-4de0-b105-df6e97f395c8', 'aa082790-2da3-4229-bb90-e54d6d91a404']",False,2dd7b4ea-b634-4e0a-ac4c-53cd1760c430
