ID,UserID,MusicList
52,43,"['Which.', 'Weight cup.', 'Seven.', 'Mean.', 'Democratic.', 'Yard nature.']"
53,18,"['Travel.', 'Yourself.', 'However threat.', 'Read second.', 'Else whether.', 'Others fund.']"
54,20,"['Very majority.', 'Run professor.', 'Safe.', 'National into.']"
55,76,"['Thought market.', 'Offer.', 'Everybody.', 'Especially.']"
56,69,"['Political up.', 'Grow particular.', 'Right.', 'Market.', 'Adult.', 'Create require.', 'Must speak.']"
57,17,"['Issue.', 'Artist data.', 'Teacher phone.']"
58,84,"['Beat stuff.', 'Think sign.', 'Human can.', 'Travel article.', 'Worry authority.', 'Few.', 'Director.']"
59,54,"['Lay now.', 'Question.', 'Participant brother.']"
60,58,"['Final risk.', 'Play guess.', 'Opportunity.', 'National white.', 'On require.', 'Light capital.']"
61,9,"['Could defense.', 'Live.', 'Through.', 'Better plan.', 'Charge throughout.', 'Memory position.', 'This.']"
62,9,"['Car.', 'Safe that.', 'Dark.', 'Guess himself.']"
63,12,"['Report.', 'Official.', 'Body.', 'Father.', 'Type.', 'Blood through.']"
64,58,"['Bring.', 'Audience.', 'Reduce defense.', 'More floor.', 'Support.', 'Town moment.']"
65,44,"['Specific trip.', 'Site another.', 'Democrat draw.', 'Deep.']"
66,22,"['Girl sense.', 'Reason.', 'Anything teacher.']"
67,85,"['Common.', 'Trial exist.', 'Treat ok.']"
68,29,"['Build hour.', 'Indeed or.', 'Conference thing.', 'According travel.']"
69,95,"['Economy capital.', 'White himself.', 'To a.']"
70,62,"['Black.', 'Country.', 'Fast discuss.']"
71,87,"['We player.', 'Method.', 'Fight.', 'Seem.', 'If attorney.', 'New.', 'Watch kid.']"
72,2,"['Apply.', 'Compare.', 'Which.', 'Customer great.', 'Government law.', 'Born full.']"
73,15,"['Choice per.', 'Candidate.', 'If teacher.', 'Four yard.', 'Poor matter.', 'Line.', 'Section help.']"
74,5,"['Art.', 'Stop.', 'Open.', 'Everything expert.', 'Second.']"
75,96,"['Me.', 'Heart.', 'Common.']"
76,43,"['House.', 'Season wind.', 'Season government.', 'Various.']"
77,4,"['Research.', 'Job.', 'It.', 'Expert.']"
78,83,"['Air expect.', 'Cost.', 'Again member.', 'Want discover.', 'Break.']"
79,54,"['Enjoy.', 'Across.', 'Left book.', 'Past.', 'Name.', 'Why.']"
80,9,"['Discussion.', 'Light.', 'Affect detail.', 'Every lay.', 'Suddenly line.', 'Quite.', 'Range.']"
81,77,"['Economic other.', 'Begin nature.', 'Remember.', 'Mean develop.', 'Amount.']"
82,16,"['Radio.', 'Worry brother.', 'Indeed.']"
83,91,"['Another.', 'Make.', 'Meet style.', 'Debate.', 'Reflect win.', 'Local option.', 'War pass.']"
84,74,"['Success notice.', 'Whom attack.', 'Toward spring.', 'Animal.', 'Believe wife.', 'Above.']"
85,15,"['Difficult.', 'Public.', 'Will such.', 'Shake between.', 'Quite.', 'Together data.']"
86,44,"['Two.', 'Sea poor.', 'Bad cultural.', 'Assume chair.', 'Big.', 'Off.']"
87,34,"['Away.', 'Worry care.', 'He.', 'Green.', 'Talk.', 'Defense guess.', 'Reveal.']"
88,39,"['Pay language.', 'Short.', 'Behind democratic.']"
89,79,"['Kind.', 'Quickly learn.', 'Toward spring.']"
90,42,"['Few without.', 'Pass face.', 'Under.', 'Data full.', 'Student.', 'Town.']"
91,40,"['Case.', 'Bring trip.', 'Government.', 'Garden.', 'Help none.']"
92,78,"['Sing.', 'Growth drop.', 'Form happy.', 'Mrs five.', 'Bill still.', 'Piece.', 'Home.']"
93,65,"['View.', 'Or feeling.', 'Write.', 'Century so.']"
94,13,"['Upon.', 'Fly.', 'Stage check.']"
95,40,"['Agent.', 'Discover.', 'Just head.', 'Class check.', 'Drive establish.', 'Force card.', 'Worker leg.']"
96,85,"['Whom.', 'American.', 'Long performance.', 'Avoid finish.']"
97,8,"['Point forget.', 'Although.', 'Statement.', 'Race.', 'Single.']"
98,27,"['Argue.', 'Business travel.', 'Several.']"
99,73,"['Bad.', 'Suddenly.', 'Develop response.']"
100,38,"['Plan.', 'First.', 'Job represent.']"
